data_size_mb,binary_search_throughput,btree_search_throughput
1,696568.154980,1767278.415981
5,47398.366467,117187.331543
10,25024.805275,61531.289073
25,19977.125831,57101.167091
50,15022.204245,40276.611876
100,12938.027163,41755.269609
200,12373.124665,41550.204042
500,6041.681763,20065.486967
